,date,ticker,option_id,expiration,S0,div_yield,disc_rate,expiration_days,strike,implied_vol,delta,call/put,best_bid,best_offer,volume
1714,2023-01-17,AAPL,141470448,2023-09-15,135.733,0.00792040606149772,0.04916789021022556,241,195.0,0.253247,0.064203,C,0.67,0.78,0
1713,2023-01-17,AAPL,141470449,2023-09-15,135.733,0.00792040606149772,0.04916789021022556,241,200.0,0.250596,0.048154,C,0.43,0.6,121
1712,2023-01-17,AAPL,141470450,2023-09-15,135.733,0.00792040606149772,0.04916789021022556,241,205.0,0.258169,0.042186,C,0.4,0.51,0
1711,2023-01-17,AAPL,141470451,2023-09-15,135.733,0.00792040606149772,0.04916789021022556,241,210.0,0.255379,0.031221,C,0.24,0.4,8
1720,2023-01-17,AAPL,141528516,2023-09-15,135.733,0.00792040606149772,0.04916789021022556,241,220.0,0.259804,0.020262,C,0.13,0.27,1
1725,2023-01-17,AAPL,141528517,2023-09-15,135.733,0.00792040606149772,0.04916789021022556,241,230.0,0.26994,0.015157,C,0.12,0.18,155
1726,2023-01-17,AAPL,142291791,2023-09-15,135.733,0.00792040606149772,0.04916789021022556,241,240.0,0.283881,0.012768,C,0.08,0.18,1
1727,2023-01-17,AAPL,142291792,2023-09-15,135.733,0.00792040606149772,0.04916789021022556,241,250.0,0.278452,0.006914,C,0.02,0.11,2
1786,2023-01-17,AAPL,144084639,2023-09-15,135.733,0.00792040606149772,0.04916789021022556,241,260.0,0.289313,0.005744,C,0.01,0.1,20
1784,2023-01-17,AAPL,144543838,2023-09-15,135.733,0.00792040606149772,0.04916789021022556,241,280.0,0.318869,0.005287,C,0.01,0.1,0
1782,2023-01-17,AAPL,144543840,2023-09-15,135.733,0.00792040606149772,0.04916789021022556,241,300.0,0.342707,0.004556,C,0.01,0.09,1
673,2023-01-18,AAPL,151698039,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,65.0,0.482425,-0.016357,P,0.29,0.42,0
672,2023-01-18,AAPL,142859004,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,70.0,0.458049,-0.021237,P,0.43,0.47,479
671,2023-01-18,AAPL,141470480,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,75.0,0.443167,-0.029244,P,0.57,0.68,3
670,2023-01-18,AAPL,141470481,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,80.0,0.428172,-0.039268,P,0.77,0.92,11
669,2023-01-18,AAPL,141470482,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,85.0,0.411993,-0.051275,P,1.03,1.18,1
668,2023-01-18,AAPL,141470483,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,90.0,0.39857,-0.066981,P,1.4,1.52,19
667,2023-01-18,AAPL,141470484,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,95.0,0.383908,-0.085511,P,1.8,1.95,5
740,2023-01-18,AAPL,141470457,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,100.0,0.373055,-0.109568,P,2.36,2.55,372
739,2023-01-18,AAPL,141470458,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,105.0,0.361667,-0.13785,P,3.0,3.3,3
747,2023-01-18,AAPL,141470459,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,110.0,0.350719,-0.171238,P,3.9,4.1,36
738,2023-01-18,AAPL,141470460,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,115.0,0.340815,-0.210385,P,4.95,5.15,261
737,2023-01-18,AAPL,141470461,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,120.0,0.33173,-0.255316,P,6.2,6.45,101
736,2023-01-18,AAPL,141470462,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,125.0,0.324594,-0.306184,P,7.7,8.1,11
735,2023-01-18,AAPL,141470463,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,130.0,0.314269,-0.361364,P,9.45,9.75,1712
734,2023-01-18,AAPL,141470464,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,135.0,0.30712,-0.421792,P,11.65,11.75,323
616,2023-01-18,AAPL,141470437,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,140.0,0.298623,0.532829,C,12.35,12.65,19
615,2023-01-18,AAPL,141470438,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,145.0,0.29146,0.472538,C,10.15,10.25,694
614,2023-01-18,AAPL,141470439,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,150.0,0.28429,0.411878,C,8.0,8.35,1656
613,2023-01-18,AAPL,141470440,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,155.0,0.278436,0.353201,C,6.15,6.8,121
612,2023-01-18,AAPL,141470441,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,160.0,0.271723,0.296354,C,4.85,5.15,73
611,2023-01-18,AAPL,141470442,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,165.0,0.265856,0.243897,C,3.7,3.9,89
610,2023-01-18,AAPL,141470443,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,170.0,0.262228,0.19866,C,2.79,2.99,1070
609,2023-01-18,AAPL,141470444,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,175.0,0.259504,0.159883,C,2.1,2.27,2094
608,2023-01-18,AAPL,141470445,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,180.0,0.258004,0.127884,C,1.6,1.71,53
607,2023-01-18,AAPL,141470446,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,185.0,0.255985,0.10046,C,1.17,1.29,6
725,2023-01-18,AAPL,141470447,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,190.0,0.254726,0.078498,C,0.83,1.0,13
724,2023-01-18,AAPL,141470448,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,195.0,0.255441,0.062255,C,0.62,0.78,5
723,2023-01-18,AAPL,141470449,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,200.0,0.255786,0.048871,C,0.45,0.61,91
722,2023-01-18,AAPL,141470450,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,205.0,0.258803,0.039912,C,0.37,0.48,13
721,2023-01-18,AAPL,141470451,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,210.0,0.259608,0.03143,C,0.26,0.39,7
720,2023-01-18,AAPL,141528516,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,220.0,0.269377,0.022855,C,0.2,0.27,0
719,2023-01-18,AAPL,141528517,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,230.0,0.274413,0.0155,C,0.12,0.19,1
718,2023-01-18,AAPL,142291791,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,240.0,0.268876,0.00817,C,0.03,0.12,2
717,2023-01-18,AAPL,142291792,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,250.0,0.298945,0.010577,C,0.08,0.14,0
716,2023-01-18,AAPL,144084639,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,260.0,0.295035,0.006158,C,0.01,0.11,0
715,2023-01-18,AAPL,144543837,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,270.0,0.304452,0.005073,C,0.01,0.09,100
726,2023-01-18,AAPL,144543838,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,280.0,0.321923,0.005279,C,0.01,0.1,50
728,2023-01-18,AAPL,144543840,2023-09-15,135.004,0.007963168404703794,0.04911771711717487,240,300.0,0.323966,0.002542,C,0.01,0.04,3
2158,2023-01-19,AAPL,151698039,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,65.0,0.48578,-0.016674,P,0.2,0.53,0
2157,2023-01-19,AAPL,142859004,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,70.0,0.451773,-0.019875,P,0.32,0.5,0
2156,2023-01-19,AAPL,141470480,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,75.0,0.448976,-0.030319,P,0.46,0.86,0
2155,2023-01-19,AAPL,141470481,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,80.0,0.432947,-0.040284,P,0.66,1.1,5
2154,2023-01-19,AAPL,141470482,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,85.0,0.417751,-0.052803,P,1.04,1.28,7
2153,2023-01-19,AAPL,141470483,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,90.0,0.405161,-0.06906,P,1.38,1.7,0
2152,2023-01-19,AAPL,141470484,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,95.0,0.388681,-0.087066,P,1.85,2.03,4
2279,2023-01-19,AAPL,141470457,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,100.0,0.374764,-0.109809,P,2.35,2.59,88
2278,2023-01-19,AAPL,141470458,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,105.0,0.362635,-0.137714,P,3.0,3.3,887
2277,2023-01-19,AAPL,141470459,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,110.0,0.352582,-0.171508,P,3.95,4.1,57
2276,2023-01-19,AAPL,141470460,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,115.0,0.345759,-0.211925,P,5.05,5.3,2
2275,2023-01-19,AAPL,141470461,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,120.0,0.334133,-0.255557,P,6.25,6.5,46
2274,2023-01-19,AAPL,141470462,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,125.0,0.324274,-0.305436,P,7.7,8.0,4
2273,2023-01-19,AAPL,141470463,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,130.0,0.315284,-0.360845,P,9.45,9.75,322
2272,2023-01-19,AAPL,141470464,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,135.0,0.306362,-0.421347,P,11.45,11.8,23
2369,2023-01-19,AAPL,141470437,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,140.0,0.302201,0.533876,C,12.45,12.85,450
2368,2023-01-19,AAPL,141470438,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,145.0,0.295654,0.474445,C,10.25,10.5,498
2367,2023-01-19,AAPL,141470439,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,150.0,0.289191,0.414941,C,8.2,8.55,58
2366,2023-01-19,AAPL,141470440,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,155.0,0.28174,0.355802,C,6.45,6.75,27
2365,2023-01-19,AAPL,141470441,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,160.0,0.276596,0.300839,C,5.05,5.3,265
2364,2023-01-19,AAPL,141470442,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,165.0,0.271925,0.250094,C,3.85,4.15,7
2363,2023-01-19,AAPL,141470443,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,170.0,0.27061,0.207666,C,2.93,3.35,131
2362,2023-01-19,AAPL,141470444,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,175.0,0.263905,0.164523,C,2.19,2.4,565
2382,2023-01-19,AAPL,141470445,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,180.0,0.26071,0.130511,C,1.51,1.91,14
2383,2023-01-19,AAPL,141470446,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,185.0,0.262164,0.106442,C,1.22,1.47,0
2302,2023-01-19,AAPL,141470447,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,190.0,0.259346,0.082516,C,0.87,1.1,41
2301,2023-01-19,AAPL,141470448,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,195.0,0.257638,0.063812,C,0.66,0.79,5
2300,2023-01-19,AAPL,141470449,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,200.0,0.258809,0.050851,C,0.5,0.62,33
2299,2023-01-19,AAPL,141470450,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,205.0,0.262305,0.041967,C,0.37,0.54,5
2298,2023-01-19,AAPL,141470451,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,210.0,0.257356,0.029966,C,0.25,0.36,5
2303,2023-01-19,AAPL,141528516,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,220.0,0.262647,0.019785,C,0.14,0.25,2
2297,2023-01-19,AAPL,141528517,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,230.0,0.271201,0.014301,C,0.1,0.18,200
2295,2023-01-19,AAPL,142291791,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,240.0,0.294118,0.014644,C,0.05,0.26,0
2294,2023-01-19,AAPL,142291792,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,250.0,0.281956,0.006895,C,0.02,0.11,3
2293,2023-01-19,AAPL,144084639,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,260.0,0.307005,0.008191,C,0.01,0.16,20
2291,2023-01-19,AAPL,144543838,2023-09-15,135.064,0.007959636282989575,0.04907100730347881,239,280.0,0.319353,0.004877,C,0.01,0.09,10
2120,2023-01-20,AAPL,151698039,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,65.0,0.474381,-0.013098,P,0.16,0.39,15
2119,2023-01-20,AAPL,142859004,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,70.0,0.459458,-0.018636,P,0.31,0.48,13
2118,2023-01-20,AAPL,141470480,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,75.0,0.444588,-0.025747,P,0.37,0.73,0
2117,2023-01-20,AAPL,141470481,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,80.0,0.428445,-0.034365,P,0.53,0.94,7
2116,2023-01-20,AAPL,141470482,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,85.0,0.41294,-0.045214,P,0.75,1.19,4
2115,2023-01-20,AAPL,141470483,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,90.0,0.401057,-0.059838,P,1.13,1.48,3
2114,2023-01-20,AAPL,141470484,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,95.0,0.389982,-0.078041,P,1.62,1.85,0
2325,2023-01-20,AAPL,141470457,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,100.0,0.376791,-0.09898,P,2.1,2.35,129
2344,2023-01-20,AAPL,141470458,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,105.0,0.360204,-0.12226,P,2.55,2.93,1
2343,2023-01-20,AAPL,141470459,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,110.0,0.349371,-0.152924,P,3.25,3.75,6
2342,2023-01-20,AAPL,141470460,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,115.0,0.338915,-0.188833,P,4.25,4.6,4
2341,2023-01-20,AAPL,141470461,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,120.0,0.332065,-0.231785,P,5.45,5.85,75
2340,2023-01-20,AAPL,141470462,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,125.0,0.321094,-0.278495,P,6.8,7.1,749
2339,2023-01-20,AAPL,141470463,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,130.0,0.312074,-0.331454,P,8.4,8.7,71
2338,2023-01-20,AAPL,141470464,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,135.0,0.303455,-0.389717,P,10.2,10.65,234
2379,2023-01-20,AAPL,141470438,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,145.0,0.288426,0.503607,C,11.05,11.55,23
2381,2023-01-20,AAPL,141470439,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,150.0,0.277401,0.440412,C,8.6,9.3,79
2380,2023-01-20,AAPL,141470440,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,155.0,0.271393,0.379416,C,6.75,7.45,45
2387,2023-01-20,AAPL,141470441,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,160.0,0.267979,0.322828,C,5.4,5.85,29
2386,2023-01-20,AAPL,141470442,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,165.0,0.261386,0.266965,C,4.1,4.45,30
2385,2023-01-20,AAPL,141470443,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,170.0,0.258115,0.219053,C,3.1,3.45,44
2384,2023-01-20,AAPL,141470444,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,175.0,0.253155,0.174632,C,2.3,2.54,490
2383,2023-01-20,AAPL,141470445,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,180.0,0.252644,0.140899,C,1.69,2.02,74
2382,2023-01-20,AAPL,141470446,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,185.0,0.248538,0.108644,C,1.12,1.55,51
2320,2023-01-20,AAPL,141470447,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,190.0,0.247091,0.084472,C,0.89,1.08,15
2319,2023-01-20,AAPL,141470448,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,195.0,0.249609,0.06829,C,0.72,0.83,1
2318,2023-01-20,AAPL,141470449,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,200.0,0.242187,0.047482,C,0.4,0.59,255
2317,2023-01-20,AAPL,141470450,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,205.0,0.249298,0.041009,C,0.37,0.49,1
2316,2023-01-20,AAPL,141470451,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,210.0,0.248798,0.031231,C,0.19,0.44,1
2315,2023-01-20,AAPL,141528516,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,220.0,0.252553,0.019671,C,0.07,0.31,0
2314,2023-01-20,AAPL,141528517,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,230.0,0.270436,0.017257,C,0.12,0.23,5
2321,2023-01-20,AAPL,142291791,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,240.0,0.274851,0.011656,C,0.06,0.17,7
2313,2023-01-20,AAPL,142291792,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,250.0,0.276354,0.007389,C,0.02,0.12,15
2312,2023-01-20,AAPL,144084639,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,260.0,0.290302,0.006622,C,0.02,0.11,5
2311,2023-01-20,AAPL,144543837,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,270.0,0.297453,0.005102,C,0.01,0.09,50
2310,2023-01-20,AAPL,144543838,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,280.0,0.335959,0.008667,C,0.01,0.19,0
2309,2023-01-20,AAPL,144543839,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,290.0,0.325755,0.004721,C,0.01,0.09,0
2308,2023-01-20,AAPL,144543840,2023-09-15,137.66,0.007809530717342424,0.04902368799767677,238,300.0,0.331748,0.003786,C,0.03,0.05,0
1952,2023-01-23,AAPL,151698039,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,65.0,0.482867,-0.011857,P,0.18,0.33,21
1951,2023-01-23,AAPL,142859004,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,70.0,0.464605,-0.01633,P,0.3,0.4,267
1950,2023-01-23,AAPL,141470480,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,75.0,0.444243,-0.021523,P,0.38,0.53,7
1949,2023-01-23,AAPL,141470481,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,80.0,0.423972,-0.027875,P,0.53,0.63,12
1948,2023-01-23,AAPL,141470482,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,85.0,0.411777,-0.03791,P,0.7,0.9,0
1947,2023-01-23,AAPL,141470483,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,90.0,0.399622,-0.050459,P,1.05,1.11,28
1946,2023-01-23,AAPL,141470484,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,95.0,0.385391,-0.065073,P,1.31,1.49,69
1823,2023-01-23,AAPL,141470457,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,100.0,0.372359,-0.083336,P,1.69,1.93,1838
1822,2023-01-23,AAPL,141470458,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,105.0,0.359817,-0.105538,P,2.25,2.39,394
1839,2023-01-23,AAPL,141470459,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,110.0,0.346735,-0.131738,P,2.8,3.05,167
1879,2023-01-23,AAPL,141470460,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,115.0,0.336296,-0.164181,P,3.65,3.8,14
1880,2023-01-23,AAPL,141470461,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,120.0,0.32704,-0.202515,P,4.65,4.8,170
1881,2023-01-23,AAPL,141470462,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,125.0,0.316535,-0.245891,P,5.7,6.05,27
1937,2023-01-23,AAPL,141470463,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,130.0,0.308374,-0.296037,P,7.2,7.45,2073
1936,2023-01-23,AAPL,141470464,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,135.0,0.299626,-0.35151,P,8.85,9.15,214
1935,2023-01-23,AAPL,141470465,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,140.0,0.291503,-0.412496,P,10.85,11.1,234
1813,2023-01-23,AAPL,141470438,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,145.0,0.286892,0.542006,C,12.7,12.95,130
1812,2023-01-23,AAPL,141470439,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,150.0,0.279192,0.48081,C,10.3,10.55,5285
1811,2023-01-23,AAPL,141470440,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,155.0,0.27246,0.419218,C,8.25,8.45,74
1818,2023-01-23,AAPL,141470441,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,160.0,0.264472,0.357413,C,6.35,6.65,555
1810,2023-01-23,AAPL,141470442,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,165.0,0.258283,0.299105,C,4.9,5.1,648
1808,2023-01-23,AAPL,141470443,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,170.0,0.254772,0.247393,C,3.7,4.0,550
1807,2023-01-23,AAPL,141470444,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,175.0,0.248286,0.197414,C,2.64,3.0,201
1806,2023-01-23,AAPL,141470445,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,180.0,0.246979,0.159066,C,1.97,2.32,450
1805,2023-01-23,AAPL,141470446,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,185.0,0.242329,0.122628,C,1.39,1.68,148
1804,2023-01-23,AAPL,141470447,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,190.0,0.24187,0.096491,C,1.08,1.22,43
1803,2023-01-23,AAPL,141470448,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,195.0,0.240498,0.074245,C,0.77,0.91,17
1802,2023-01-23,AAPL,141470449,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,200.0,0.235449,0.053269,C,0.51,0.61,69
1809,2023-01-23,AAPL,141470450,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,205.0,0.238987,0.043083,C,0.37,0.52,16
1820,2023-01-23,AAPL,141470451,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,210.0,0.240078,0.033446,C,0.29,0.38,15
1829,2023-01-23,AAPL,141528516,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,220.0,0.245019,0.021263,C,0.13,0.28,40
1821,2023-01-23,AAPL,141528517,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,230.0,0.257433,0.016338,C,0.13,0.19,90
1837,2023-01-23,AAPL,142291791,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,240.0,0.259535,0.010131,C,0.04,0.15,0
1836,2023-01-23,AAPL,142291792,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,250.0,0.26777,0.007472,C,0.02,0.12,8
1835,2023-01-23,AAPL,144084639,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,260.0,0.284231,0.007101,C,0.01,0.13,0
1834,2023-01-23,AAPL,144543837,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,270.0,0.295006,0.005976,C,0.01,0.11,55
1833,2023-01-23,AAPL,144543838,2023-09-15,140.895,0.007630217560768194,0.048938237806135335,235,280.0,0.293503,0.003661,C,0.01,0.06,0
1980,2023-01-24,AAPL,151698039,2023-09-15,142.313,0.007554199115975584,0.04890909606180194,234,65.0,0.478042,-0.010427,P,0.11,0.33,3
1979,2023-01-24,AAPL,142859004,2023-09-15,142.313,0.007554199115975584,0.04890909606180194,234,70.0,0.452944,-0.013439,P,0.25,0.3,216
1978,2023-01-24,AAPL,141470480,2023-09-15,142.313,0.007554199115975584,0.04890909606180194,234,75.0,0.443248,-0.019762,P,0.38,0.45,11
1977,2023-01-24,AAPL,141470481,2023-09-15,142.313,0.007554199115975584,0.04890909606180194,234,80.0,0.422376,-0.02548,P,0.42,0.63,0
1984,2023-01-24,AAPL,141470482,2023-09-15,142.313,0.007554199115975584,0.04890909606180194,234,85.0,0.412833,-0.035536,P,0.59,0.91,0
1994,2023-01-24,AAPL,141470483,2023-09-15,142.313,0.007554199115975584,0.04890909606180194,234,90.0,0.390736,-0.044059,P,0.8,1.01,138
2076,2023-01-24,AAPL,141470484,2023-09-15,142.313,0.007554199115975584,0.04890909606180194,234,95.0,0.383557,-0.060034,P,1.11,1.44,20
2041,2023-01-24,AAPL,141470457,2023-09-15,142.313,0.007554199115975584,0.04890909606180194,234,100.0,0.370031,-0.07694,P,1.46,1.83,67
2040,2023-01-24,AAPL,141470458,2023-09-15,142.313,0.007554199115975584,0.04890909606180194,234,105.0,0.359005,-0.098571,P,1.98,2.31,42
2039,2023-01-24,AAPL,141470459,2023-09-15,142.313,0.007554199115975584,0.04890909606180194,234,110.0,0.347475,-0.124175,P,2.6,2.89,410
2038,2023-01-24,AAPL,141470460,2023-09-15,142.313,0.007554199115975584,0.04890909606180194,234,115.0,0.336044,-0.154596,P,3.35,3.6,4
2037,2023-01-24,AAPL,141470461,2023-09-15,142.313,0.007554199115975584,0.04890909606180194,234,120.0,0.327798,-0.19183,P,4.35,4.55,509
2036,2023-01-24,AAPL,141470462,2023-09-15,142.313,0.007554199115975584,0.04890909606180194,234,125.0,0.317561,-0.233565,P,5.45,5.65,688
2035,2023-01-24,AAPL,141470463,2023-09-15,142.313,0.007554199115975584,0.04890909606180194,234,130.0,0.30852,-0.281685,P,6.75,7.05,56
2042,2023-01-24,AAPL,141470464,2023-09-15,142.313,0.007554199115975584,0.04890909606180194,234,135.0,0.297404,-0.334983,P,8.2,8.6,1035
2034,2023-01-24,AAPL,141470465,2023-09-15,142.313,0.007554199115975584,0.04890909606180194,234,140.0,0.2914,-0.394936,P,10.2,10.55,223
764,2023-01-24,AAPL,141470439,2023-09-15,142.313,0.007554199115975584,0.04890909606180194,234,150.0,0.280015,0.498446,C,11.0,11.25,59
763,2023-01-24,AAPL,141470440,2023-09-15,142.313,0.007554199115975584,0.04890909606180194,234,155.0,0.272415,0.43662,C,8.85,9.0,14
762,2023-01-24,AAPL,141470441,2023-09-15,142.313,0.007554199115975584,0.04890909606180194,234,160.0,0.265258,0.375099,C,6.9,7.15,306
761,2023-01-24,AAPL,141470442,2023-09-15,142.313,0.007554199115975584,0.04890909606180194,234,165.0,0.261123,0.317992,C,5.25,5.8,20
760,2023-01-24,AAPL,141470443,2023-09-15,142.313,0.007554199115975584,0.04890909606180194,234,170.0,0.252368,0.259777,C,3.95,4.25,79
767,2023-01-24,AAPL,141470444,2023-09-15,142.313,0.007554199115975584,0.04890909606180194,234,175.0,0.248884,0.211583,C,2.97,3.25,246
